Tipo;Bairro;Quartos;Area;Aluguel;Condominio;Valor Bruto;Valor / m^2
Apartamento;Ipanema;2;215;7000.0;2400.0;9400.0;43.72093023255814
Apartamento;Copacabana;2;140;6800.0;800.0;7600.0;54.285714285714285
Apartamento;Lins de Vasconcelos;2;50;700.0;297.0;997.0;19.94
Apartamento;Rio Comprido;1;99;1000.0;777.0;1777.0;17.949494949494948
Apartamento;Rocha Miranda;3;65;550.0;295.0;845.0;13.0
Apartamento;Barra da Tijuca;2;83;1600.0;1350.0;2950.0;35.54216867469879
Apartamento;Centro;1;56;1900.0;917.0;2817.0;50.30357142857143
Apartamento;Ipanema;3;150;6300.0;2200.0;8500.0;56.666666666666664
Apartamento;Ipanema;3;126;6000.0;1518.0;7518.0;59.666666666666664
Apartamento;Barra da Tijuca;1;186;3500.0;1400.0;4900.0;26.344086021505376
Apartamento;Recreio dos Bandeirantes;3;115;2850.0;1280.0;4130.0;35.91304347826087
Apartamento;Leme;3;185;6200.0;1758.0;7958.0;43.016216216216215
Apartamento;Leme;1;26;1100.0;605.0;1705.0;65.57692307692308
Apartamento;Copacabana;3;130;3200.0;1550.0;4750.0;36.53846153846154
Apartamento;São Cristóvão;1;41;1000.0;130.0;1130.0;27.5609756097561
Apartamento;Barra da Tijuca;1;70;2200.0;1118.0;3318.0;47.4
Apartamento;Braz de Pina;2;80;1200.0;300.0;1500.0;18.75
Apartamento;Engenho de Dentro;3;60;1600.0;538.0;2138.0;35.63333333333333
Apartamento;Campo Grande;2;65;450.0;220.0;670.0;10.307692307692308
Apartamento;Copacabana;3;107;3200.0;600.0;3800.0;35.51401869158879
Apartamento;Barra da Tijuca;4;149;4200.0;1800.0;6000.0;40.26845637583892
Apartamento;Freguesia (Jacarepaguá);4;110;3000.0;950.0;3950.0;35.90909090909091
Apartamento;Pechincha;2;69;1400.0;360.0;1760.0;25.507246376811594
Apartamento;São Conrado;3;121;3800.0;1440.0;5240.0;43.30578512396694
Apartamento;Ipanema;3;140;5000.0;2500.0;7500.0;53.57142857142857
Apartamento;Cordovil;2;44;1200.0;315.0;1515.0;34.43181818181818
Apartamento;Copacabana;3;115;3000.0;1250.0;4250.0;36.95652173913044
Apartamento;Higienópolis;1;45;700.0;130.0;830.0;18.444444444444443
Apartamento;Leme;4;175;3700.0;1906.0;5606.0;32.034285714285716
Apartamento;Leblon;2;75;3900.0;1100.0;5000.0;66.66666666666667
Apartamento;Abolição;2;43;800.0;341.0;1141.0;26.53488372093023
Apartamento;Ipanema;1;80;3800.0;1400.0;5200.0;65.0
Apartamento;Barra da Tijuca;1;30;1800.0;590.0;2390.0;79.66666666666667
Apartamento;Laranjeiras;2;115;3800.0;984.0;4784.0;41.6
Apartamento;Barra da Tijuca;2;80;1600.0;797.0;2397.0;29.9625
Apartamento;Água Santa;2;50;800.0;310.0;1110.0;22.2
Apartamento;Copacabana;1;45;1500.0;460.0;1960.0;43.55555555555556
Apartamento;Pechincha;2;46;900.0;420.0;1320.0;28.695652173913043
Apartamento;Campo Grande;2;60;750.0;350.0;1100.0;18.333333333333332
Apartamento;Cachambi;2;64;1700.0;632.0;2332.0;36.4375
Apartamento;Glória;2;55;2200.0;438.0;2638.0;47.96363636363636
Apartamento;Recreio dos Bandeirantes;4;190;3500.0;866.0;4366.0;22.978947368421053
Apartamento;Estácio;2;70;1480.0;660.0;2140.0;30.571428571428573
Apartamento;Tijuca;2;60;1900.0;600.0;2500.0;41.666666666666664
Apartamento;Jardim Botânico;2;130;4000.0;1732.0;5732.0;44.09230769230769
Apartamento;Barra da Tijuca;3;106;3300.0;1490.0;4790.0;45.18867924528302
