Tipo;Bairro;Quartos;Area;Aluguel;Condominio;Valor Bruto;Valor / m^2
Apartamento;Copacabana;2;80;2900.0;760.0;3660.0;45.8
Apartamento;Água Santa;2;58;700.0;500.0;1200.0;20.7
Apartamento;Ipanema;10;250;25000.0;2500.0;27500.0;110.0
Casa de Vila;Botafogo;2;68;3500.0;0.0;3500.0;51.5
Apartamento;Leblon;4;380;31000.0;3200.0;34200.0;90.0
Apartamento;Leblon;1;35;2200.0;370.0;2570.0;73.4
Apartamento;Cosme Velho;4;200;6000.0;1610.0;7610.0;38.0
Apartamento;Barra da Tijuca;4;154;6000.0;1210.0;7210.0;46.8
Apartamento;Barra da Tijuca;3;110;3800.0;1350.0;5150.0;46.8
Apartamento;Méier;3;105;1100.0;200.0;1300.0;12.4
Apartamento;Jardim Botânico;2;70;3200.0;850.0;4050.0;57.9
Apartamento;Recreio dos Bandeirantes;3;213;1900.0;1184.0;3084.0;14.5
Apartamento;Jacarepaguá;1;56;600.0;692.0;1292.0;23.1
Apartamento;Vila Isabel;2;65;1500.0;714.0;2214.0;34.1
Casa;Jardim Guanabara;3;200;3800.0;0.0;3800.0;19.0
Apartamento;Tijuca;1;40;1500.0;430.0;1930.0;48.2
Apartamento;Engenho Novo;2;60;1300.0;460.0;1760.0;29.3
Apartamento;Recreio dos Bandeirantes;2;120;2400.0;760.0;3160.0;26.3
Apartamento;Tijuca;2;80;1400.0;850.0;2250.0;28.1
Apartamento;Humaitá;3;115;3800.0;1670.0;5470.0;47.6
Apartamento;Jardim Botânico;3;95;2900.0;1102.0;4002.0;42.1
Apartamento;Barra da Tijuca;2;53;1300.0;622.0;1922.0;36.3
Apartamento;Catumbi;2;46;1300.0;300.0;1600.0;34.8
Apartamento;Freguesia (Jacarepaguá);1;72;2000.0;600.0;2600.0;36.1
Apartamento;São Conrado;5;600;15000.0;15300.0;30300.0;50.5
Apartamento;Recreio dos Bandeirantes;3;161;2500.0;780.0;3280.0;20.4
Apartamento;Tijuca;3;91;2100.0;715.0;2815.0;30.9
Apartamento;Barra da Tijuca;3;680;20000.0;1980.0;21980.0;32.3
Apartamento;Pechincha;2;60;1100.0;606.0;1706.0;28.4
Apartamento;Humaitá;2;65;2600.0;660.0;3260.0;50.2
Apartamento;Recreio dos Bandeirantes;2;115;3500.0;840.0;4340.0;37.7
Quitinete;Lapa;0;28;900.0;400.0;1300.0;46.4
Apartamento;Copacabana;3;180;7500.0;1900.0;9400.0;52.2
Quitinete;Glória;1;50;800.0;495.0;1295.0;25.9
Apartamento;Ipanema;2;120;7500.0;2350.0;9850.0;82.1
Apartamento;Ipanema;3;150;5800.0;2200.0;8000.0;53.3
Apartamento;Barra da Tijuca;2;80;3000.0;1400.0;4400.0;55.0
Apartamento;Ipanema;2;105;6500.0;1500.0;8000.0;76.2
Quitinete;Ipanema;1;25;1500.0;550.0;2050.0;82.0
Apartamento;Recreio dos Bandeirantes;2;70;2000.0;725.0;2725.0;38.9
Apartamento;Leme;2;83;2400.0;588.0;2988.0;36.0
Apartamento;Barra da Tijuca;2;90;2600.0;1400.0;4000.0;44.4
Apartamento;Tijuca;1;30;1000.0;420.0;1420.0;47.3
Casa;Barra da Tijuca;4;600;30000.0;1100.0;31100.0;51.8
Apartamento;Ipanema;2;110;10000.0;2100.0;12100.0;110.0
Apartamento;Jacarepaguá;4;156;3000.0;1610.0;4610.0;29.6
Apartamento;Tijuca;3;96;2000.0;960.0;2960.0;30.8
Apartamento;Botafogo;2;75;3200.0;920.0;4120.0;54.9
Apartamento;Urca;3;165;8500.0;3500.0;12000.0;72.7
Apartamento;Ipanema;4;450;25000.0;3100.0;28100.0;62.4
Apartamento;Barra da Tijuca;2;80;2400.0;1200.0;3600.0;45.0
Apartamento;Ipanema;1;41;2500.0;550.0;3050.0;74.4
Casa de Condomínio;Barra da Tijuca;4;372;9800.0;2333.0;12133.0;32.6
Apartamento;Barra da Tijuca;2;77;2500.0;800.0;3300.0;42.9
Apartamento;Copacabana;4;230;6200.0;1580.0;7780.0;33.8
Apartamento;Copacabana;5;280;20000.0;2300.0;22300.0;79.6
Apartamento;Botafogo;1;48;1900.0;456.0;2356.0;49.1
Casa de Condomínio;Recreio dos Bandeirantes;4;260;9000.0;7068.0;16068.0;61.8
Apartamento;Campo Grande;1;40;500.0;200.0;700.0;17.5
Apartamento;Flamengo;3;140;2800.0;2300.0;5100.0;36.4
Apartamento;Pechincha;2;73;1300.0;700.0;2000.0;27.4
Apartamento;Jardim Botânico;3;84;3000.0;650.0;3650.0;43.5
Apartamento;Lagoa;4;255;10000.0;2500.0;12500.0;49.0
Casa de Condomínio;Cachambi;2;90;1100.0;280.0;1380.0;15.3
Apartamento;Copacabana;3;100;8000.0;1050.0;9050.0;90.5
Apartamento;Copacabana;2;80;2700.0;600.0;3300.0;41.2
Apartamento;Flamengo;3;96;3300.0;912.0;4212.0;43.9
Casa;Vila da Penha;2;36;700.0;0.0;700.0;19.4
Apartamento;Barra da Tijuca;4;170;10000.0;3089.0;13089.0;77.0
Apartamento;Leblon;3;115;7000.0;1900.0;8900.0;77.4
Apartamento;Barra da Tijuca;3;72;2200.0;660.0;2860.0;39.7
Apartamento;Recreio dos Bandeirantes;3;114;2200.0;570.0;2770.0;24.3
Apartamento;Cascadura;2;62;1000.0;516.0;1516.0;24.5
Apartamento;Flamengo;1;47;2100.0;515.0;2615.0;55.6
Apartamento;Tijuca;2;76;1800.0;849.0;2649.0;34.9
Apartamento;Pechincha;2;50;1000.0;482.0;1482.0;29.6
Apartamento;Ipanema;3;140;9000.0;1800.0;10800.0;77.1
Quitinete;Copacabana;1;40;2200.0;550.0;2750.0;68.8
